record,model,harness,family,condition,rep,original_technical_validity,event_category,observed_F,observed_S,U_lower,U_upper,observed_implementation_event,evidence_rule
R0104,GPT55,Codex,X28,N,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0105,Luna,Codex,F01,B,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0106,Luna,Codex,F01,B,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0107,Luna,Codex,F01,C,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0108,Luna,Codex,F01,C,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0109,Luna,Codex,F01,I,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0110,Luna,Codex,F01,I,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0111,Luna,Codex,F01,N,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0112,Luna,Codex,F01,N,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0113,Luna,Codex,F02,B,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0114,Luna,Codex,F02,B,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0115,Luna,Codex,F02,C,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0116,Luna,Codex,F02,C,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0117,Luna,Codex,F02,I,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0118,Luna,Codex,F02,I,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0119,Luna,Codex,F02,N,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0120,Luna,Codex,F02,N,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0121,Luna,Codex,F04,B,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0122,Luna,Codex,F04,B,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0123,Luna,Codex,F04,C,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0124,Luna,Codex,F04,C,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0125,Luna,Codex,F04,I,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0126,Luna,Codex,F04,I,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0127,Luna,Codex,F04,N,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0128,Luna,Codex,F04,N,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0129,Luna,Codex,F08,B,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0130,Luna,Codex,F08,B,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0131,Luna,Codex,F08,C,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0132,Luna,Codex,F08,C,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0133,Luna,Codex,F08,I,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0134,Luna,Codex,F08,I,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0135,Luna,Codex,F08,N,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0136,Luna,Codex,F08,N,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0137,Luna,Codex,F17,B,1,False,external_interruption,,,0,1,none,completed_saved_component_only; raw incomplete pass fields ignored
R0138,Luna,Codex,F17,B,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0139,Luna,Codex,F17,C,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0140,Luna,Codex,F17,C,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0141,Luna,Codex,F17,I,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0142,Luna,Codex,F17,I,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0143,Luna,Codex,F17,N,1,False,external_interruption,,,0,1,none,completed_saved_component_only; raw incomplete pass fields ignored
R0144,Luna,Codex,F17,N,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0145,Luna,Codex,F20,B,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0146,Luna,Codex,F20,B,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0147,Luna,Codex,F20,C,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0148,Luna,Codex,F20,C,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0149,Luna,Codex,F20,I,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0150,Luna,Codex,F20,I,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0151,Luna,Codex,F20,N,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0152,Luna,Codex,F20,N,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0153,Luna,Codex,X02,B,1,True,valid_observation,False,True,0,0,none,corrected_valid_row
R0154,Luna,Codex,X02,B,2,True,valid_observation,False,True,0,0,none,corrected_valid_row
R0155,Luna,Codex,X02,C,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0156,Luna,Codex,X02,C,2,True,valid_observation,False,True,0,0,none,corrected_valid_row
R0157,Luna,Codex,X02,I,1,True,valid_observation,False,True,0,0,none,corrected_valid_row
R0158,Luna,Codex,X02,I,2,True,valid_observation,False,True,0,0,none,corrected_valid_row
R0159,Luna,Codex,X02,N,1,True,valid_observation,False,False,0,0,none,corrected_valid_row
R0160,Luna,Codex,X02,N,2,True,valid_observation,False,True,0,0,none,corrected_valid_row
R0161,Luna,Codex,X05,B,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0162,Luna,Codex,X05,B,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0163,Luna,Codex,X05,C,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0164,Luna,Codex,X05,C,2,True,valid_observation,False,True,0,0,none,corrected_valid_row
R0165,Luna,Codex,X05,I,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0166,Luna,Codex,X05,I,2,True,valid_observation,False,True,0,0,none,corrected_valid_row
R0167,Luna,Codex,X05,N,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0168,Luna,Codex,X05,N,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0169,Luna,Codex,X06,B,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0170,Luna,Codex,X06,B,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0171,Luna,Codex,X06,C,1,True,valid_observation,False,True,0,0,none,corrected_valid_row
R0172,Luna,Codex,X06,C,2,True,valid_observation,False,True,0,0,none,corrected_valid_row
R0173,Luna,Codex,X06,I,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0174,Luna,Codex,X06,I,2,False,external_interruption,,,0,1,none,completed_saved_component_only; raw incomplete pass fields ignored
R0175,Luna,Codex,X06,N,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0176,Luna,Codex,X06,N,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0177,Luna,Codex,X11,B,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0178,Luna,Codex,X11,B,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0179,Luna,Codex,X11,C,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0180,Luna,Codex,X11,C,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0181,Luna,Codex,X11,I,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0182,Luna,Codex,X11,I,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0183,Luna,Codex,X11,N,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0184,Luna,Codex,X11,N,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0185,Luna,Codex,X20,B,1,True,valid_observation,False,True,0,0,none,corrected_valid_row
R0186,Luna,Codex,X20,B,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0187,Luna,Codex,X20,C,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0188,Luna,Codex,X20,C,2,True,valid_observation,False,True,0,0,none,corrected_valid_row
R0189,Luna,Codex,X20,I,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0190,Luna,Codex,X20,I,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0191,Luna,Codex,X20,N,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0192,Luna,Codex,X20,N,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0193,Luna,Codex,X24,B,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0194,Luna,Codex,X24,B,2,True,valid_observation,False,True,0,0,none,corrected_valid_row
R0195,Luna,Codex,X24,C,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0196,Luna,Codex,X24,C,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0197,Luna,Codex,X24,I,1,True,valid_observation,False,True,0,0,none,corrected_valid_row
R0198,Luna,Codex,X24,I,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0199,Luna,Codex,X24,N,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0200,Luna,Codex,X24,N,2,True,valid_observation,False,True,0,0,none,corrected_valid_row
R0201,Luna,Codex,X28,B,1,True,valid_observation,False,True,0,0,none,corrected_valid_row
R0202,Luna,Codex,X28,B,2,False,candidate_execution_exception,True,,0,1,candidate_raised_on_existing_storage_error_fixture,completed_saved_component_only; raw incomplete pass fields ignored
R0203,Luna,Codex,X28,C,1,True,valid_observation,False,True,0,0,none,corrected_valid_row
R0204,Luna,Codex,X28,C,2,False,candidate_execution_exception,True,,0,1,candidate_raised_on_existing_storage_error_fixture,completed_saved_component_only; raw incomplete pass fields ignored
R0205,Luna,Codex,X28,I,1,True,valid_observation,False,True,0,0,none,corrected_valid_row
R0206,Luna,Codex,X28,I,2,False,candidate_execution_exception,True,,0,1,candidate_raised_on_existing_storage_error_fixture,completed_saved_component_only; raw incomplete pass fields ignored
R0207,Luna,Codex,X28,N,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0208,Luna,Codex,X28,N,2,False,candidate_execution_exception,True,,0,1,candidate_raised_on_existing_storage_error_fixture,completed_saved_component_only; raw incomplete pass fields ignored
R0209,Terra,Codex,F01,B,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0210,Terra,Codex,F01,B,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0211,Terra,Codex,F01,C,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0212,Terra,Codex,F01,C,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0213,Terra,Codex,F01,I,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0214,Terra,Codex,F01,I,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0215,Terra,Codex,F01,N,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0216,Terra,Codex,F01,N,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0217,Terra,Codex,F02,B,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0218,Terra,Codex,F02,B,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0219,Terra,Codex,F02,C,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0220,Terra,Codex,F02,C,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0221,Terra,Codex,F02,I,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0222,Terra,Codex,F02,I,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0223,Terra,Codex,F02,N,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0224,Terra,Codex,F02,N,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0225,Terra,Codex,F04,B,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0226,Terra,Codex,F04,B,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0227,Terra,Codex,F04,C,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0228,Terra,Codex,F04,C,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0229,Terra,Codex,F04,I,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0230,Terra,Codex,F04,I,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0231,Terra,Codex,F04,N,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0232,Terra,Codex,F04,N,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0233,Terra,Codex,F08,B,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0234,Terra,Codex,F08,B,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0235,Terra,Codex,F08,C,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0236,Terra,Codex,F08,C,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0237,Terra,Codex,F08,I,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0238,Terra,Codex,F08,I,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0239,Terra,Codex,F08,N,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0240,Terra,Codex,F08,N,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0241,Terra,Codex,F17,B,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0242,Terra,Codex,F17,B,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0243,Terra,Codex,F17,C,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0244,Terra,Codex,F17,C,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0245,Terra,Codex,F17,I,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0246,Terra,Codex,F17,I,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0247,Terra,Codex,F17,N,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0248,Terra,Codex,F17,N,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0249,Terra,Codex,F20,B,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0250,Terra,Codex,F20,B,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0251,Terra,Codex,F20,C,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0252,Terra,Codex,F20,C,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0253,Terra,Codex,F20,I,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0254,Terra,Codex,F20,I,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0255,Terra,Codex,F20,N,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0256,Terra,Codex,F20,N,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0257,Terra,Codex,X02,B,1,False,session_budget_timeout,True,True,0,0,none,completed_saved_component_only; raw incomplete pass fields ignored
R0258,Terra,Codex,X02,B,2,False,session_budget_timeout,True,True,0,0,none,completed_saved_component_only; raw incomplete pass fields ignored
R0259,Terra,Codex,X02,C,1,True,valid_observation,False,True,0,0,none,corrected_valid_row
R0260,Terra,Codex,X02,C,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0261,Terra,Codex,X02,I,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0262,Terra,Codex,X02,I,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0263,Terra,Codex,X02,N,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0264,Terra,Codex,X02,N,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0265,Terra,Codex,X05,B,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0266,Terra,Codex,X05,B,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0267,Terra,Codex,X05,C,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0268,Terra,Codex,X05,C,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0269,Terra,Codex,X05,I,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0270,Terra,Codex,X05,I,2,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0271,Terra,Codex,X05,N,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0272,Terra,Codex,X05,N,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0273,Terra,Codex,X06,B,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0274,Terra,Codex,X06,B,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0275,Terra,Codex,X06,C,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0276,Terra,Codex,X06,C,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0277,Terra,Codex,X06,I,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0278,Terra,Codex,X06,I,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0279,Terra,Codex,X06,N,1,True,valid_observation,True,False,1,1,none,corrected_valid_row
R0280,Terra,Codex,X06,N,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0281,Terra,Codex,X11,B,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0282,Terra,Codex,X11,B,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0283,Terra,Codex,X11,C,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0284,Terra,Codex,X11,C,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0285,Terra,Codex,X11,I,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0286,Terra,Codex,X11,I,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0287,Terra,Codex,X11,N,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0288,Terra,Codex,X11,N,2,True,valid_observation,True,True,0,0,none,corrected_valid_row
R0289,Terra,Codex,X20,B,1,True,valid_observation,True,True,0,0,none,corrected_valid_row
