packet,record,run_id,model,family,condition,rep,packet_sha256,bytes,visible_events,availability,original_result,saved_implementation
P011,R0205,271683b7a282d9ec1a9a5014,Luna,X28,I,1,b4c67410d46e9bb21afcc933d3278d00fdc8b7dc6fef8cce68924caf924ee29a,51909,14,native visible response items; encrypted reasoning omitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/271683b7a282d9ec1a9a5014/attempts/attempt-001/record/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/271683b7a282d9ec1a9a5014/attempts/attempt-001/workspace/app/service.py
P012,R0203,0927baeab33c5f8d6253e73c,Luna,X28,C,1,2fccfd0c0e9761781a9af4ed21a09d9fe3f43d4216c44ab29563318abf8820ef,58374,18,native visible response items; encrypted reasoning omitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/0927baeab33c5f8d6253e73c/attempts/attempt-001/record/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/0927baeab33c5f8d6253e73c/attempts/attempt-001/workspace/app/service.py
P013,R0021,34fc1b221f11e18bdd8ef2d1,GPT55,F04,I,1,7561fbeb4430f3d60f0662548c22cc4c4788985de183041f622aa3fc2dd05570,16913,26,native visible response items; encrypted reasoning omitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/34fc1b221f11e18bdd8ef2d1/attempts/attempt-001/record/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/34fc1b221f11e18bdd8ef2d1/attempts/attempt-001/workspace/app/service.py
P014,R0086,947d65c50244f47af3c7941f,GPT55,X20,I,2,10429fcfe523eee11f880dfbf092931b2077328c96012bb2ed2ba4146f64450a,22479,30,native visible response items; encrypted reasoning omitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/947d65c50244f47af3c7941f/attempts/attempt-001/record/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/947d65c50244f47af3c7941f/attempts/attempt-001/workspace/app/service.py
P015,R0395,792d15fd71c1068c1d4b54f3,Devstral,X20,C,1,d1934f424014c67b3d28b5d5d85fbcca6db4e14960374e8a16ea82fec7cf3df3,17291,15,saved visible messages and tool calls,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-devstral-native-recommended-v2/792d15fd71c1068c1d4b54f3/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-devstral-native-recommended-v2/792d15fd71c1068c1d4b54f3/working-copy/app/service.py
P016,R0463,44e964e1955e3adf3503f2ad,Qwen30,F20,N,1,11341aef84db2ffd0eecea43b330f443c1bb89aabe81be289eff1bc666437681,19019,33,saved visible messages and tool calls,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-native-recommended-v1/44e964e1955e3adf3503f2ad/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-native-recommended-v1/44e964e1955e3adf3503f2ad/working-copy/app/service.py
P017,R0455,e2d2fadb227212468f7a1a0c,Qwen30,F17,N,1,76ccd5ab8f27644c102f2ba215e9be40a60d397b68d7e41e75499b0862e89ecb,17965,26,saved visible messages and tool calls,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-native-recommended-v1/e2d2fadb227212468f7a1a0c/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-native-recommended-v1/e2d2fadb227212468f7a1a0c/working-copy/app/service.py
P018,R0160,898d2bb1c4c36e60fc0d93b5,Luna,X02,N,2,cdf2b9c15df176fbad1ee72d17fd40d0eff624ac839323c34687e915847f5082,179127,55,native visible response items; encrypted reasoning omitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/898d2bb1c4c36e60fc0d93b5/attempts/attempt-001/record/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/898d2bb1c4c36e60fc0d93b5/attempts/attempt-001/workspace/app/service.csirpy
P019,R0532,8121536f2e77a4e25a7cbe2c,QwenNext,F02,C,2,02e40c8d648baac0c6ee575fb93d2bb5166bc520e4936ad5965f6943a7e06267,21624,43,saved visible messages and tool calls,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/8121536f2e77a4e25a7cbe2c/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/8121536f2e77a4e25a7cbe2c/working-copy/app/service.py
P020,R0253,19b405b538e5167abf33ffb3,Terra,F20,I,1,c9349b250995020db6e3845d7f248a484d5ef08bb1cebf71b0306269687d56e3,24289,15,native visible response items; encrypted reasoning omitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-terra-medium-v1/runs/19b405b538e5167abf33ffb3/attempts/attempt-001/record/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-terra-medium-v1/runs/19b405b538e5167abf33ffb3/attempts/attempt-001/workspace/app/service.py
P021,R0402,b759c0205d0840667e6c3e9c,Devstral,X24,B,2,b685e4e499e748608291192ea621168e3bae334ab64ccd88a6fa50a03ed54aba,15862,17,saved visible messages and tool calls,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-devstral-native-recommended-v2/b759c0205d0840667e6c3e9c/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-devstral-native-recommended-v2/b759c0205d0840667e6c3e9c/working-copy/app/service.py
P022,R0252,9566a806691b147de62ee0a6,Terra,F20,C,2,dea3b8000d5dfd4e8c546c0df30af44104b01c3a1fa63902c2bc42610b6af640,23255,13,native visible response items; encrypted reasoning omitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-terra-medium-v1/runs/9566a806691b147de62ee0a6/attempts/attempt-001/record/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-terra-medium-v1/runs/9566a806691b147de62ee0a6/attempts/attempt-001/workspace/app/service.py
P023,R0350,edd58283e902cc63732f7e17,Devstral,F17,I,2,609dfc409d0b3962ad0c2c454ea6d03e92a34ccb7ee950699d2d79455f98d731,16553,23,saved visible messages and tool calls,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-devstral-native-recommended-v2/edd58283e902cc63732f7e17/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-devstral-native-recommended-v2/edd58283e902cc63732f7e17/working-copy/app/service.py
P024,R0195,89b02f40e7e1c551b2e01fad,Luna,X24,C,1,d96ec192c20b839837c431d9eeb31643780c435f15bdd2f8a789db33ad0a3938,66830,32,native visible response items; encrypted reasoning omitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/89b02f40e7e1c551b2e01fad/attempts/attempt-001/record/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/89b02f40e7e1c551b2e01fad/attempts/attempt-001/workspace/app/service.py
P025,R0185,e9ac397387c132ff72bec285,Luna,X20,B,1,02051c8e212077559672ea295e3b4c76f52d11b2ae8f1a1e8e88c2a7c5ff4066,92901,14,native visible response items; encrypted reasoning omitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/e9ac397387c132ff72bec285/attempts/attempt-001/record/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/e9ac397387c132ff72bec285/attempts/attempt-001/workspace/app/service.py
P026,R0060,e83b600e2abde1b605547e2c,GPT55,X05,C,2,79ef8573bb6a3da5984f83ac90408a0a60e83d03ac6f6adea7869f0795aafd1a,19657,24,native visible response items; encrypted reasoning omitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/e83b600e2abde1b605547e2c/attempts/attempt-001/record/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/e83b600e2abde1b605547e2c/attempts/attempt-001/workspace/app/service.py
P027,R0130,3076a16971bd5dce8c4b7c39,Luna,F08,B,2,7cc7cdd4dcbcbbdc2f4b109b14e5cd4473fad708a5dfe465c23dd7ee7893211d,19407,17,native visible response items; encrypted reasoning omitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/3076a16971bd5dce8c4b7c39/attempts/attempt-001/record/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/3076a16971bd5dce8c4b7c39/attempts/attempt-001/workspace/app/service.py
P028,R0417,81ae997f85820e5ea0fce4cc,Qwen30,F01,B,1,0ddfc26eb97f2a84b0a7bc49ba932b37524f28499b2ccf14c29ba241254ada95,19572,29,saved visible messages and tool calls,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-native-recommended-v1/81ae997f85820e5ea0fce4cc/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-native-recommended-v1/81ae997f85820e5ea0fce4cc/working-copy/app/service.py
P029,R0596,1bf6bacf0e1d4f30d24931b3,QwenNext,X11,C,2,2a8d247cc556da542221d5ed2d8069ab6c2f29424934b0be046f92bab7126b43,16789,23,saved visible messages and tool calls,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/1bf6bacf0e1d4f30d24931b3/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/1bf6bacf0e1d4f30d24931b3/working-copy/app/service.py
P030,R0432,4573c1251bdefc3f2f29c37a,Qwen30,F02,N,2,f1f000594cbeabd1726334bc67a4844cc80d44217b57e78f70cb82355f01dda7,12590,19,saved visible messages and tool calls,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-native-recommended-v1/4573c1251bdefc3f2f29c37a/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-native-recommended-v1/4573c1251bdefc3f2f29c37a/working-copy/app/service.py
P031,R0058,06cee2500d24f0e84e3de94b,GPT55,X05,B,2,d1cd8e0944aa9ff085f5d0171701d5852d7033914a509cfce69f8e81ceab6140,32711,38,native visible response items; encrypted reasoning omitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/06cee2500d24f0e84e3de94b/attempts/attempt-001/record/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/06cee2500d24f0e84e3de94b/attempts/attempt-001/workspace/app/service.py
P032,R0087,289d603259e3eb9ac47d0355,GPT55,X20,N,1,b99dd2e6eafd9164bb33d22043df5d4c80e012ab4ced7aea068d970a6521de14,15807,33,native visible response items; encrypted reasoning omitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/289d603259e3eb9ac47d0355/attempts/attempt-001/record/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/289d603259e3eb9ac47d0355/attempts/attempt-001/workspace/app/service.py
P033,R0452,d00774759f1bd82e81d690dc,Qwen30,F17,C,2,652f4cee27e4587aba5b1078cec8c4b35c0d16d2993d35f70f2e03e941242d03,24234,44,saved visible messages and tool calls,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-native-recommended-v1/d00774759f1bd82e81d690dc/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-native-recommended-v1/d00774759f1bd82e81d690dc/working-copy/app/service.py
P034,R0072,ac01cae3ce449fb3c54b6ffe,GPT55,X06,N,2,5c2aa0fd42aaba539b3099b12621d218ab68679f0b3b0afbee6cd9bc742ba80c,23811,43,native visible response items; encrypted reasoning omitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/ac01cae3ce449fb3c54b6ffe/attempts/attempt-001/record/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/ac01cae3ce449fb3c54b6ffe/attempts/attempt-001/workspace/app/service.py
P035,R0177,aeda47e032710cf852327775,Luna,X11,B,1,c46e73147dc3215cdcecea6dfa8fe26a4181e9836cdddedf879d25fe78392e15,65897,26,native visible response items; encrypted reasoning omitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/aeda47e032710cf852327775/attempts/attempt-001/record/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/aeda47e032710cf852327775/attempts/attempt-001/workspace/app/service.py
P036,R0061,608398c6d37f46e516e0d3f4,GPT55,X05,I,1,7da0e44d421cbcc9c18a0152b20964ee397df3b2c818e6bbc0c6caf239b2c75f,19819,27,native visible response items; encrypted reasoning omitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/608398c6d37f46e516e0d3f4/attempts/attempt-001/record/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/608398c6d37f46e516e0d3f4/attempts/attempt-001/workspace/app/service.py
P037,R0525,89fd584e34996034cfcde687,QwenNext,F01,I,1,b8e41f23c9b3ab225e6aa5e11162c7814d165da660ce9484ddaf6f883c199db6,17989,31,saved visible messages and tool calls,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/89fd584e34996034cfcde687/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/89fd584e34996034cfcde687/working-copy/app/service.py
P038,R0423,3f51799fedde2844fb15ab4d,Qwen30,F01,N,1,00178ba031368e603f334f297ecfe09c2f9b810c46022a9d84f327ab6263a6f7,14386,23,saved visible messages and tool calls,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-native-recommended-v1/3f51799fedde2844fb15ab4d/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-native-recommended-v1/3f51799fedde2844fb15ab4d/working-copy/app/service.py
P039,R0302,6a85f6097165b2809138a775,Terra,X24,I,2,8fab1135aa1f0f972d2b2c30ff2c4931df946e3b3491987455d00f5c13afda98,17651,17,native visible response items; encrypted reasoning omitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-terra-medium-v1/runs/6a85f6097165b2809138a775/attempts/attempt-001/record/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-terra-medium-v1/runs/6a85f6097165b2809138a775/attempts/attempt-001/workspace/app/service.py
P040,R0330,c7ba0c92098a0ba81323a46a,Devstral,F04,B,2,3d536e58d0121250e01a474117b1016c3e4d06917003cc93ebebfd1dec6fd75f,13557,16,saved visible messages and tool calls,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-devstral-native-recommended-v2/c7ba0c92098a0ba81323a46a/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-devstral-native-recommended-v2/c7ba0c92098a0ba81323a46a/working-copy/app/service.py
P041,R0311,e993b2d6a23555815acb01a2,Terra,X28,N,1,e60a034ae7900c55cacc34f3e95e1d9e65c458be4ce874598690f647667273d9,15493,18,native visible response items; encrypted reasoning omitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-terra-medium-v1/runs/e993b2d6a23555815acb01a2/attempts/attempt-001/record/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-terra-medium-v1/runs/e993b2d6a23555815acb01a2/attempts/attempt-001/workspace/app/service.py
P042,R0587,64f32ecc53a9df9e82fcdae2,QwenNext,X06,C,1,8cee6fe450ad5c51b2ae19a011a22556572ef2a78d4a0b68e0837981b7a50eaa,17062,26,saved visible messages and tool calls,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/64f32ecc53a9df9e82fcdae2/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/64f32ecc53a9df9e82fcdae2/working-copy/app/service.py
P043,R0305,99c50373cc98f24afc2d19ce,Terra,X28,B,1,36ad4c5d9ccdeaece41e275596831825a6876884ef3ca6292bb8845be1923a34,59215,15,native visible response items; encrypted reasoning omitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-terra-medium-v1/runs/99c50373cc98f24afc2d19ce/attempts/attempt-001/record/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-terra-medium-v1/runs/99c50373cc98f24afc2d19ce/attempts/attempt-001/workspace/app/service.py
P044,R0344,38def9b56f6ffc8020f6a071,Devstral,F08,N,2,af8a19ecc0fd893450907cb44a2d62d786dcdff541bdf807b5bc5ddbdc695ba8,12192,28,saved visible messages and tool calls,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-devstral-native-recommended-v2/38def9b56f6ffc8020f6a071/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-devstral-native-recommended-v2/38def9b56f6ffc8020f6a071/working-copy/app/service.py
P045,R0585,2f420e92287a453373030c16,QwenNext,X06,B,1,785c6c5fe7e0f4c9560b493b888c1a08ec2eb5fded593e3f91a62bdf26b4ed17,19399,29,saved visible messages and tool calls,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/2f420e92287a453373030c16/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/2f420e92287a453373030c16/working-copy/app/service.py
P046,R0321,878deac2a268f43cebee4c25,Devstral,F02,B,1,b0de0ce38e7544e32104c77d6978174921f45ffef16e55676bda1b083c77d82f,13772,17,saved visible messages and tool calls,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-devstral-native-recommended-v2/878deac2a268f43cebee4c25/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-devstral-native-recommended-v2/878deac2a268f43cebee4c25/working-copy/app/service.py
P047,R0237,6fab677f87e413a913cd625f,Terra,F08,I,1,353f72c41c54ea74da39bcaa5a273b0035d8a01f66e623e8ad4d7b832b241737,10741,12,native visible response items; encrypted reasoning omitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-terra-medium-v1/runs/6fab677f87e413a913cd625f/attempts/attempt-001/record/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-terra-medium-v1/runs/6fab677f87e413a913cd625f/attempts/attempt-001/workspace/app/service.py
P048,R0336,4a0a487ca306c4087d8d5e89,Devstral,F04,N,2,fda5fbec39b99ea1b32f677b19bfa1d658b06e4100b86e25123b6a8b83f4dc56,11158,21,saved visible messages and tool calls,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-devstral-native-recommended-v2/4a0a487ca306c4087d8d5e89/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-devstral-native-recommended-v2/4a0a487ca306c4087d8d5e89/working-copy/app/service.py
P049,R0572,f1efcbc5e38fa0a750bb6fbb,QwenNext,X02,C,2,dbbd500203d83b356fc21ec2e329c5afb8179e1a9c698beee0c5875842962e30,48358,54,saved visible messages and tool calls,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/f1efcbc5e38fa0a750bb6fbb/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/f1efcbc5e38fa0a750bb6fbb/working-copy/app/service.csirpy
P050,R0070,f4efcee7a2e3d772bea1dfa0,GPT55,X06,I,2,50066a457f0aa1579849a4f7cf221d1e6794fb91b75ef76ce3a89b2ef0a9c948,23857,30,native visible response items; encrypted reasoning omitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/f4efcee7a2e3d772bea1dfa0/attempts/attempt-001/record/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/f4efcee7a2e3d772bea1dfa0/attempts/attempt-001/workspace/app/service.py
P051,R0272,66522a4e0a6640c56b8c5caf,Terra,X05,N,2,5cb725af09d07c8804c9d583c99152675bbd1d0f900110d1568f4634fdf8c0ce,54933,23,native visible response items; encrypted reasoning omitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-terra-medium-v1/runs/66522a4e0a6640c56b8c5caf/attempts/attempt-001/record/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-terra-medium-v1/runs/66522a4e0a6640c56b8c5caf/attempts/attempt-001/workspace/app/service.py
P052,R0154,2fa4578626aebc4ec3624f60,Luna,X02,B,2,a08b5544c5971feaf74f774f8e2d3f841bc8eb4a03353712c36688d0c504c042,50866,16,native visible response items; encrypted reasoning omitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/2fa4578626aebc4ec3624f60/attempts/attempt-001/record/result.json,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-codex-v3/runs/2fa4578626aebc4ec3624f60/attempts/attempt-001/workspace/app/service.csirpy
